,bedrooms,bathrooms,sqft_living,floors,yr_built,zipcode,waterfront_view,landscape_view,condition_evaluation,grade_evaluation,renovated,price/sqft
0,3,1,1180,1,1955,98178,No,No,Regular,Regular,No,188.05
1,3,2,2570,2,1951,98125,No,No,Regular,Regular,Yes,209.34
2,2,1,770,1,1933,98028,No,No,Regular,Regular,No,233.77
3,4,3,1960,1,1965,98136,No,No,Really Good,Regular,No,308.16
4,3,2,1680,1,1987,98074,No,No,Regular,Regular,No,303.57
5,4,4,5420,1,2001,98053,No,No,Regular,Good,No,226.01
6,3,2,1715,2,1995,98003,No,No,Regular,Regular,No,150.15
7,3,1,1060,1,1963,98198,No,No,Regular,Regular,No,275.33
8,3,1,1780,1,1960,98146,No,No,Regular,Regular,No,128.93
9,3,2,1890,2,2003,98038,No,No,Regular,Regular,No,170.9
10,3,2,3560,1,1965,98007,No,No,Regular,Regular,No,186.1
11,2,1,1160,1,1942,98115,No,No,God,Regular,No,403.45
12,3,1,1430,1,1927,98028,No,No,God,Regular,No,216.78
13,3,1,1370,1,1977,98074,No,No,God,Regular,No,291.97
14,5,2,1810,1,1900,98107,No,No,Regular,Regular,No,292.82
15,4,3,2950,2,1979,98126,No,No,Regular,Good,No,220.34
16,3,2,1890,2,1994,98019,No,No,Regular,Regular,No,208.99
17,4,1,1600,1,1916,98103,No,No,God,Regular,No,303.12
18,2,1,1200,1,1921,98002,No,No,God,Regular,No,157.5
19,3,1,1250,1,1969,98003,No,No,God,Regular,No,184.0
20,4,1,1620,1,1947,98133,No,No,God,Regular,No,237.65
21,3,2,3050,1,1968,98040,No,No,Regular,Good,No,655.74
22,5,2,2270,2,1995,98092,No,No,Regular,Regular,No,125.55
23,2,1,1070,1,1985,98030,No,No,Regular,Regular,No,236.17
24,3,2,2450,2,1985,98030,No,No,God,Regular,No,134.29
25,3,2,1710,1,1941,98002,No,No,Really Good,Regular,No,136.26
26,3,1,2450,2,1915,98119,No,No,Regular,Regular,No,382.45
27,3,1,1400,1,1909,98112,No,No,Really Good,Regular,No,476.43
28,3,1,1520,1,1948,98115,No,No,Regular,Regular,No,288.16
29,4,2,2570,2,2005,98052,No,No,Regular,Regular,No,279.77
30,3,2,2320,2,2003,98027,No,No,Regular,Regular,No,250.22
31,2,1,1190,3,2005,98133,No,No,Regular,Regular,No,235.29
32,4,1,2330,1,1929,98117,No,No,God,Regular,No,295.06
33,3,1,1090,1,1929,98117,No,No,God,Regular,No,490.83
34,4,2,2060,1,1981,98058,No,No,Regular,Regular,No,156.55
35,3,2,2300,1,1930,98115,No,No,Regular,Regular,Yes,302.61
36,4,1,1660,1,1933,98052,No,No,Really Bad,Regular,No,331.33
37,4,2,2360,2,1904,98107,No,No,God,Regular,No,271.19
38,4,1,1220,1,1969,98001,No,No,Bad,Regular,No,196.72
39,4,2,2620,2,1996,98056,No,No,Regular,Regular,No,230.92
40,4,2,2570,2,2000,98074,No,No,Regular,Good,No,243.19
41,4,2,4220,1,1984,98166,No,No,Regular,Regular,No,183.65
42,5,2,3595,2,2014,98053,No,No,Regular,Good,No,239.77
43,3,1,1570,2,1922,98119,No,No,Regular,Regular,No,436.31
44,3,1,1280,1,1959,98058,No,No,God,Regular,No,241.41
45,3,2,3160,2,2003,98019,No,No,Regular,Regular,No,154.43
46,3,1,990,1,1966,98023,No,No,Regular,Regular,No,212.62
47,4,2,2290,2,1981,98007,No,No,God,Good,No,342.79
48,3,1,1250,1,1953,98115,No,No,God,Regular,No,360.0
49,3,2,2753,1,1953,98070,Yes,No,Really Good,Good,No,490.37
50,3,1,1190,1,1955,98148,No,No,Regular,Regular,No,191.6
51,5,2,3150,1,1966,98056,No,No,God,Regular,No,109.52
52,3,1,1410,1,1950,98117,No,No,God,Regular,No,425.53
