,sqft_living,sqft_lot,sqft_above,zipcode,waterfront_view,landscape_view,price,season,season_encode
0,1180,5650,1180,98178,No,No,221900.0,Autumn,0
1,2570,7242,2170,98125,No,No,538000.0,Winter,3
2,770,10000,770,98028,No,No,180000.0,Winter,3
3,1960,5000,1050,98136,No,No,604000.0,Winter,3
4,1680,8080,1680,98074,No,No,510000.0,Winter,3
5,5420,101930,3890,98053,No,No,1225000.0,Spring,1
6,1715,6819,1715,98003,No,No,257500.0,Summer,2
7,1060,9711,1060,98198,No,No,291850.0,Winter,3
8,1780,7470,1050,98146,No,No,229500.0,Spring,1
9,1890,6560,1890,98038,No,No,323000.0,Spring,1
10,3560,9796,1860,98007,No,No,662500.0,Spring,1
11,1160,6000,860,98115,No,No,468000.0,Spring,1
12,1430,19901,1430,98028,No,No,310000.0,Spring,1
13,1370,9680,1370,98074,No,No,400000.0,Autumn,0
14,1810,4850,1810,98107,No,No,530000.0,Spring,1
15,2950,5000,1980,98126,No,No,650000.0,Winter,3
16,1890,14040,1890,98019,No,No,395000.0,Summer,2
17,1600,4300,1600,98103,No,No,485000.0,Spring,1
18,1200,9850,1200,98002,No,No,189000.0,Winter,3
19,1250,9774,1250,98003,No,No,230000.0,Spring,1
20,1620,4980,860,98133,No,No,385000.0,Spring,1
21,3050,44867,2330,98040,No,No,2000000.0,Summer,2
22,2270,6300,2270,98092,No,No,285000.0,Summer,2
23,1070,9643,1070,98030,No,No,252700.0,Spring,1
24,2450,6500,2450,98030,No,No,329000.0,Autumn,0
25,1710,4697,1710,98002,No,No,233000.0,Autumn,0
26,2450,2691,1750,98119,No,No,937000.0,Summer,2
27,1400,1581,1400,98112,No,No,667000.0,Winter,3
28,1520,6380,790,98115,No,No,438000.0,Summer,2
29,2570,7173,2570,98052,No,No,719000.0,Spring,1
30,2320,3980,2320,98027,No,No,580500.0,Autumn,0
31,1190,1265,1190,98133,No,No,280000.0,Winter,3
32,2330,5000,1510,98117,No,No,687500.0,Summer,2
33,1090,3000,1090,98117,No,No,535000.0,Autumn,0
34,2060,6659,1280,98058,No,No,322500.0,Winter,3
35,2300,3060,1510,98115,No,No,696000.0,Summer,2
36,1660,34848,930,98052,No,No,550000.0,Spring,1
37,2360,6000,2360,98107,No,No,640000.0,Winter,3
38,1220,8075,890,98001,No,No,240000.0,Winter,3
39,2620,7553,2620,98056,No,No,605000.0,Summer,2
40,2570,5520,2570,98074,No,No,625000.0,Summer,2
41,4220,24186,2600,98166,No,No,775000.0,Summer,2
42,3595,5639,3595,98053,No,No,861990.0,Summer,2
43,1570,2280,1570,98119,No,No,685000.0,Autumn,0
44,1280,9656,920,98058,No,No,309000.0,Summer,2
45,3160,13603,3160,98019,No,No,488000.0,Summer,2
46,990,8528,990,98023,No,No,210490.0,Spring,1
47,2290,13416,2290,98007,No,No,785000.0,Summer,2
48,1250,5963,1250,98115,No,No,450000.0,Spring,1
49,2753,65005,2165,98070,Yes,No,1350000.0,Spring,1
50,1190,9199,1190,98148,No,No,228000.0,Autumn,0
51,3150,9134,1640,98056,No,No,345000.0,Winter,3
52,1410,4080,1000,98117,No,No,600000.0,Winter,3
53,1980,8550,990,98117,No,No,585000.0,Winter,3
54,2730,6000,2130,98105,No,No,920000.0,Spring,1
55,2830,5000,2830,98105,No,No,885000.0,Spring,1
56,2250,4495,2250,98042,No,No,292500.0,Summer,2
57,2420,4750,2420,98042,No,No,301000.0,Spring,1
58,3250,14342,3250,98008,No,No,951000.0,Summer,2
59,1850,9976,1850,98059,No,No,430000.0,Winter,3
60,2150,21235,1590,98166,No,No,650000.0,Winter,3
61,1260,8400,1260,98148,No,No,289000.0,Summer,2
62,2519,8690,2519,98166,No,No,505000.0,Autumn,0
63,1540,1044,1540,98115,No,No,549000.0,Winter,3
64,1660,6000,1110,98122,No,No,425000.0,Summer,2
65,2770,3809,1770,98144,No,No,317625.0,Autumn,0
66,2720,11049,2720,98004,No,No,975000.0,Autumn,0
67,2240,4648,2240,98001,No,No,287000.0,Autumn,0
68,1000,12070,1000,98042,No,No,204000.0,Summer,2
69,3200,20158,1600,98004,No,No,1325000.0,Summer,2
70,4770,50094,3070,98005,No,No,1040000.0,Autumn,0
71,1260,5612,1260,98034,No,No,325000.0,Winter,3
72,2750,7807,2250,98125,No,No,571000.0,Summer,2
73,2380,5000,2380,98038,No,No,360000.0,Summer,2
74,1790,50529,1090,98042,No,No,349000.0,Spring,1
75,3430,35102,2390,98075,No,No,832500.0,Autumn,0
76,1760,7300,880,98008,No,No,380000.0,Autumn,0
77,1040,5060,1040,98116,No,No,480000.0,Spring,1
78,1410,5060,910,98133,No,No,410000.0,Summer,2
79,3450,39683,3450,98010,No,No,720000.0,Spring,1
80,2350,5100,2350,98038,No,No,390000.0,Winter,3
81,1900,5889,1900,98038,No,No,360000.0,Winter,3
82,2020,6720,1010,98118,No,No,355000.0,Autumn,0
83,1680,8712,1680,98059,No,No,356000.0,Winter,3
84,960,6634,960,98125,No,No,315000.0,Summer,2
85,2140,3600,1900,98119,No,No,940000.0,Autumn,0
86,2660,8400,2660,98092,No,No,305000.0,Autumn,0
87,2770,6278,1980,98056,No,No,461000.0,Summer,2
88,1610,2040,1610,98056,No,No,215000.0,Spring,1
89,1030,1066,765,98136,No,No,335000.0,Autumn,0
90,1980,7403,1980,98023,No,No,243500.0,Spring,1
91,3520,6353,3520,98199,No,No,1099880.0,Spring,1
92,1200,10500,1200,98023,No,No,153000.0,Winter,3
94,1580,5000,1290,98117,No,No,700000.0,Winter,3
95,3300,10250,2390,98040,No,No,905000.0,Autumn,0
96,1960,15681,1960,98032,No,No,247500.0,Spring,1
97,1160,6400,1160,98023,No,No,199000.0,Autumn,0
98,1810,41800,1210,98038,No,No,314000.0,Summer,2
99,2320,36847,2320,98045,No,No,437500.0,Spring,1
100,2070,13241,1270,98102,No,No,850830.0,Summer,2
101,1980,3478,1440,98117,No,No,555000.0,Autumn,0
102,2190,107593,2190,98077,No,No,699950.0,Winter,3
103,2920,8113,2920,98004,No,No,1088000.0,Autumn,0
104,1210,33919,1210,98058,No,No,290000.0,Autumn,0
105,2340,10005,1460,98058,No,No,375000.0,Spring,1
106,1670,4005,1170,98117,No,No,460000.0,Spring,1
107,1240,2493,1240,98198,No,No,188500.0,Summer,2
108,3140,28037,3140,98077,No,No,680000.0,Spring,1
109,2030,12342,2030,98052,No,No,470000.0,Summer,2
110,2310,9624,2310,98027,No,No,597750.0,Summer,2
111,1260,3328,700,98103,No,No,570000.0,Spring,1
112,1540,12600,1160,98038,No,No,272500.0,Autumn,0
